Open,High,Low,Close,Adj Close,Volume
2.376667,2.414667,2.31,2.406667,2.238166,3541500
2.384,2.448,2.376667,2.432,2.261724,3762000
2.45,2.465333,2.408,2.437333,2.266684,4078500
2.458667,2.573333,2.458667,2.540667,2.362783,7689000
2.547333,2.567333,2.475333,2.518,2.341704,4377000
2.563333,2.585333,2.527333,2.565333,2.385722,4977000
2.576667,2.594,2.498,2.521333,2.344803,5640000
2.512667,2.531333,2.443333,2.446667,2.275365,4566000
2.488667,2.488667,2.419333,2.441333,2.270404,3018000
2.381333,2.381333,2.228,2.263333,2.104867,10182000
2.166667,2.217333,2.064667,2.07,1.92507,11571000
2.127333,2.142,2.064,2.094667,1.94801,11799000
2.172667,2.191333,2.092667,2.11,1.962269,10522500
2.123333,2.156,2.107333,2.136,1.986449,3387000
2.093333,2.136,2.015333,2.050667,1.90709,8164500
2.047333,2.047333,1.839333,2.023333,1.88167,8449500
1.941333,1.983333,1.843333,1.875333,1.744032,7170000
1.966667,1.974,1.786,1.786,1.660954,11626500
1.866667,1.907333,1.846667,1.887333,1.755193,10768500
1.943333,1.945333,1.892667,1.932667,1.797352,7369500
1.953333,2.008667,1.953333,1.999333,1.859351,5853000
2.011333,2.011333,1.932,1.958667,1.821532,8317500
2.006667,2.006667,1.916,1.971333,1.833311,9607500
1.952,1.963333,1.909333,1.954667,1.817812,5380500
1.975333,1.99,1.913333,1.914667,1.780612,4542000
1.902,1.97,1.902,1.92,1.785572,6831000
1.794,1.794,1.713333,1.778,1.653514,14968500
1.808667,1.916667,1.808667,1.856,1.726053,8224500
1.894667,1.894667,1.736667,1.744,1.621894,7174500
1.718,1.739333,1.646667,1.702667,1.583456,9583500
1.730667,1.842667,1.690667,1.808667,1.682034,12343500
1.808667,1.828,1.756667,1.818,1.690714,9057000
1.802667,1.856667,1.774,1.838667,1.709934,5058000
1.842,1.846667,1.764,1.774,1.649794,5568000
1.762,1.778667,1.727333,1.756667,1.633675,3805500
1.74,1.750667,1.664,1.698,1.579115,6415500
1.718,1.798,1.718,1.761333,1.638014,7600500
1.766667,1.766667,1.627333,1.669333,1.552455,7930500
1.666667,1.701333,1.646667,1.696667,1.577875,6246000
1.733333,1.830667,1.733333,1.824,1.696293,8170500
1.788,1.788,1.675333,1.7,1.580975,7215000
1.649333,1.753333,1.598667,1.728667,1.607635,9519000
1.728667,1.752,1.676,1.676,1.558656,7285500
1.662,1.672,1.615333,1.646667,1.531376,5598000
1.622,1.696,1.6,1.696,1.577255,4459500
1.692667,1.692667,1.583333,1.591333,1.479917,8851500
1.596,1.602,1.515333,1.546667,1.438378,7707000
1.506667,1.506667,1.373333,1.374667,1.27842,13956000
1.322667,1.382,1.260667,1.277333,1.187901,12129000
1.021333,1.34,1.004,1.179333,1.096763,29239500
1.306667,1.324,1.140667,1.140667,1.060804,14115000
1.252,1.314667,1.178,1.31,1.218281,21187500
1.38,1.462,1.372667,1.457333,1.355298,24174000
1.426,1.490667,1.426,1.485333,1.381338,10723500
1.446667,1.514,1.425333,1.467333,1.364598,9834000
1.346667,1.425333,1.291333,1.316,1.223861,13606500
1.381333,1.408667,1.335333,1.408667,1.31004,5200500
1.436,1.496667,1.428667,1.441333,1.340419,7801500
1.371333,1.419333,1.348,1.364667,1.269121,7768500
1.46,1.548667,1.456667,1.543333,1.435277,11443500
1.588667,1.620667,1.452,1.462,1.359639,17734500
1.46,1.522,1.417333,1.482667,1.378859,8355000
1.438,1.486667,1.421333,1.482,1.378238,6459000
1.502,1.517333,1.477333,1.496667,1.391879,5242500
1.51,1.562667,1.51,1.548,1.439618,5133000
1.546667,1.565333,1.511333,1.560667,1.451398,6328500
1.560667,1.597333,1.512667,1.518667,1.412338,10005000
1.456,1.501333,1.424667,1.442667,1.341659,9004500
1.466667,1.484667,1.409333,1.428,1.328019,7872000
1.352,1.370667,1.317333,1.334667,1.241221,10623000
1.338667,1.358,1.300667,1.304,1.212701,5457000
1.27,1.324,1.196,1.298667,1.207741,11694000
1.352667,1.378,1.282,1.318667,1.226341,14334000
1.290667,1.317333,1.208667,1.208667,1.124043,19645500
1.224667,1.268667,1.189333,1.235333,1.148842,8577000
1.291333,1.38,1.290667,1.373333,1.27718,11164500
1.370667,1.370667,1.256667,1.328,1.235021,11292000
1.282667,1.413333,1.271333,1.413333,1.314379,11044500
1.452,1.514,1.436,1.492,1.387539,11214000
1.507333,1.52,1.426667,1.507333,1.401798,10017000
1.542667,1.595333,1.49,1.575333,1.465037,13086000
1.558,1.605333,1.521333,1.604667,1.492317,10491000
1.596,1.612,1.538667,1.562,1.452637,9637500
1.562,1.576667,1.544,1.568667,1.458837,3466500
1.531333,1.56,1.504667,1.505333,1.399938,5832000
1.533333,1.714667,1.518667,1.675333,1.558035,12873000
1.712667,1.758667,1.678,1.725333,1.604535,7219500
1.733333,1.738667,1.69,1.732,1.610735,3847500
1.707333,1.764667,1.692667,1.731333,1.610114,3388500
1.721333,1.743333,1.698,1.723333,1.602675,3612000
1.78,1.832,1.732,1.732667,1.611355,7911000
1.807333,1.922,1.807333,1.908667,1.775032,9553500
1.968667,1.998667,1.904667,1.983333,1.844471,12801000
1.956667,1.959333,1.846667,1.864667,1.734113,7888500
1.826667,1.864667,1.812667,1.826,1.698153,5899500
1.860667,1.922,1.842,1.920667,1.786192,7332000
1.805333,1.811333,1.736667,1.752,1.629334,7363500
1.763333,1.813333,1.763333,1.796667,1.670874,4933500
1.814,1.85,1.804667,1.842,1.713033,4515000
1.836667,1.892,1.829333,1.869333,1.738453,3586500
1.875333,1.9,1.846667,1.889333,1.757052,4272000
1.867333,1.867333,1.758667,1.771333,1.647314,6928500
1.799333,1.91,1.799333,1.904667,1.771313,7741500
1.890667,1.890667,1.822667,1.850667,1.721093,4533000
1.792,1.8,1.733333,1.75,1.627475,6873000
1.762,1.812,1.75,1.754,1.631194,6765000
1.735333,1.758667,1.687333,1.689333,1.571055,5874000
1.684667,1.704,1.621333,1.642,1.527036,8245500
1.639333,1.705333,1.638,1.703333,1.584075,4926000
1.705333,1.776,1.702,1.736667,1.615075,5721000
1.738667,1.792667,1.705333,1.788,1.662814,7293000
1.797333,1.847333,1.77,1.800667,1.674594,4227000
1.823333,1.846667,1.802,1.819333,1.691953,4059000
1.822667,1.822667,1.743333,1.746667,1.624375,4002000
1.733333,1.824667,1.694,1.814,1.686994,6042000
1.822667,1.846667,1.796,1.818667,1.691334,2290500
1.835333,1.864,1.828,1.859333,1.729153,1800000
1.866,1.919333,1.855333,1.916,1.781852,4113000
